order_id,product_id,order_date,amount
1694,45,2023-02-06,409.94
1866,9,2024-06-04,63.88
1990,29,2023-06-28,29.55
1974,37,2023-05-17,75.17
1404,9,2023-06-29,349.72
1378,6,2023-07-18,471.02
1817,26,2023-10-07,294.18
1743,44,2024-03-05,56.19
1800,35,2023-05-31,257.54
1187,34,2024-06-14,448.67
1227,8,2024-09-14,120.24
1405,41,2024-12-03,485.86
1913,43,2023-03-09,136.4
1730,7,2024-03-07,172.57
1433,17,2023-12-27,405.01
1422,39,2024-03-22,444.96
1747,8,2023-09-11,176.84
1791,40,2024-12-19,48.04
1771,24,2024-02-24,266.7
1053,29,2023-09-16,443.23
1358,27,2023-03-27,40.44
1358,22,2024-02-19,392.78
1606,38,2024-09-03,174.27
1152,35,2024-04-23,193.3
1785,10,2023-02-12,490.46
1133,44,2024-10-16,33.34
1768,10,2023-02-12,56.13
1375,37,2024-09-09,258.9
1008,19,2023-02-27,84.53
1295,20,2024-01-11,80.26
1033,42,2023-02-01,26.27
1918,1,2024-03-04,371.91
1413,48,2023-08-17,261.76
1647,39,2024-07-18,259.22
1639,44,2024-03-06,364.82
1638,24,2024-07-24,17.55
1995,7,2024-10-16,406.86
1113,15,2024-06-30,450.67
1736,15,2023-04-14,391.75
1494,17,2023-12-17,136.41
1915,42,2023-12-08,141.18
1957,41,2024-08-22,443.23
1859,17,2023-10-25,238.29
1911,32,2024-03-06,396.78
1930,12,2023-02-21,251.52
1890,40,2024-02-12,110.42
1449,8,2024-12-23,254.71
1677,49,2023-02-27,197.58
1416,19,2024-06-04,148.36
1483,15,2024-06-27,429.11
1782,50,2023-07-25,167.33
1066,42,2023-06-27,278.94
1908,38,2023-09-11,91.04
1161,34,2024-02-02,104.23
1564,14,2024-02-08,350.96
1235,29,2024-06-07,381.65
1988,4,2023-09-21,422.39
1195,25,2024-05-23,201.51
1693,5,2024-01-19,149.53
1965,3,2024-09-22,368.87
1928,39,2024-03-12,18.02
1041,34,2024-11-09,435.23
1370,1,2024-03-27,430.66
1820,2,2024-05-06,47.18
1112,1,2023-05-11,47.0
1264,24,2023-02-14,384.38
1557,12,2023-08-12,279.48
1948,49,2023-06-04,377.1
1618,2,2023-10-25,242.86
1694,9,2024-06-04,311.39
1215,34,2024-03-02,177.43
1647,14,2023-08-16,12.3
1915,12,2023-12-01,232.15
1360,47,2023-06-01,117.27
1296,3,2024-09-22,355.61
1325,8,2023-11-23,291.3
1437,16,2023-03-04,448.54
1045,35,2023-12-18,406.01
1035,40,2023-10-15,486.41
1869,7,2023-12-30,66.62
1070,29,2024-02-12,345.56
1525,28,2023-03-02,13.12
1651,28,2023-12-16,214.07
1770,31,2024-06-13,215.77
1519,31,2023-04-06,433.15
1340,50,2023-01-17,257.78
1952,44,2024-11-03,222.13
1780,26,2024-03-05,408.24
1481,47,2023-03-07,83.89
1220,39,2023-06-17,435.86
1831,39,2023-09-20,258.39
1735,42,2024-06-17,129.09
1181,32,2023-08-02,460.94
1898,49,2024-03-18,268.91
1675,40,2024-08-11,466.16
1872,15,2024-02-12,241.23
1210,49,2024-08-03,499.11
1191,13,2024-02-28,265.97
1894,35,2023-06-16,360.38
1449,4,2024-04-11,467.38
1144,40,2024-03-16,482.84
1821,33,2024-12-08,103.41
1827,15,2024-07-31,210.61
1996,49,2024-08-18,303.87
1840,40,2024-10-19,73.92
1892,14,2024-06-28,120.31
1305,18,2024-05-12,272.9
1262,31,2023-04-29,470.51
1551,48,2024-09-02,392.45
1023,23,2024-09-09,29.72
1739,28,2023-11-26,402.32
1749,18,2023-10-06,417.59
1378,15,2024-05-04,369.92
1774,19,2024-08-15,157.21
1724,48,2024-03-01,53.4
1007,38,2023-05-10,328.67
1539,50,2024-08-18,473.36
1582,15,2024-05-31,105.43
1298,14,2023-09-27,176.74
1440,43,2024-07-29,428.44
1678,33,2023-12-03,219.94
1878,1,2023-10-27,455.09
1538,50,2023-06-03,457.25
1060,14,2024-08-12,397.78
1359,44,2023-02-20,115.0
1765,44,2023-10-23,317.98
1599,10,2024-07-23,352.36
1987,39,2023-02-13,382.28
1320,45,2023-01-13,253.04
1262,8,2024-05-15,461.41
1738,29,2023-04-15,20.25
1053,3,2023-08-04,196.31
1097,14,2024-09-17,330.27
1510,28,2024-12-28,181.08
1477,24,2024-02-16,386.25
1344,42,2024-06-25,63.89
1333,8,2024-09-22,53.85
1003,50,2023-08-28,392.71
1125,2,2024-09-04,425.19
1517,47,2023-10-03,105.1
1312,42,2023-02-03,422.24
1887,33,2024-12-27,100.87
1624,32,2024-03-10,248.25
1716,26,2024-09-26,366.48
1403,15,2024-05-01,250.94
1504,29,2024-05-15,169.12
1833,21,2024-08-15,158.13
1927,50,2023-10-30,214.81
1333,5,2024-11-10,81.82
1789,45,2024-08-10,320.14
1026,23,2023-06-14,297.03
1102,13,2024-08-26,494.08
1898,28,2024-01-22,133.59
1787,6,2024-01-04,110.28
1947,35,2024-01-31,404.99
1550,25,2023-11-07,400.06
1008,39,2024-12-10,308.31
1773,34,2024-02-09,200.41
1915,10,2024-12-18,168.62
1425,18,2024-05-26,329.91
1658,4,2023-07-29,279.27
1768,38,2024-07-02,248.09
1126,1,2023-12-23,78.43
1572,49,2023-02-23,301.04
1895,30,2024-08-22,51.89
1372,13,2023-11-12,312.78
1442,14,2024-01-12,323.03
1901,34,2024-08-11,94.16
1251,14,2024-07-31,364.38
1169,23,2024-09-05,236.93
1122,27,2023-02-27,62.82
1371,30,2023-03-31,354.78
